GO_ID	pValues	interestCount	backgroundCount
GO:0038189	0.19286060605380606	1	3
GO:0038084	0.1390742498706813	3	19
GO:0045008	0.43528378435773646	1	8
GO:0006220	0.24850146150336413	1	4
GO:0009117	0.43528378435773646	1	8
GO:0055086	1.0	0	15
GO:0006139	1.0	0	26
GO:0009166	1.0	0	3
GO:0006285	0.04127016152442236	2	5
GO:0006259	1.0	0	38
GO:0090304	0.07905658610117396	2	7
GO:0160195	0.01358885255864113	2	3
GO:0070700	0.5756674533753028	1	12
GO:0033612	1.0	0	6
GO:0005102	0.8537213883264285	23	403
GO:0015030	0.7918727302176499	3	60
GO:0016604	0.1738427048234612	26	310
GO:0035770	1.0	0	17
GO:0009649	0.24850146150336413	1	4
GO:0042752	0.520861397353515	5	69
GO:0030515	0.776985913544772	1	21
GO:0019871	0.43528378435773646	1	8
GO:0017080	1.0	0	36
GO:0099106	1.0	0	11
GO:0016247	1.0	0	10
GO:0141108	1.0	0	6
GO:0008200	1.0	0	13
GO:0141110	0.07905658610117396	2	7
GO:0140678	0.9384556543568712	1	39
GO:0005912	0.8054604966580665	11	197
GO:0005911	0.7210355972439713	13	214
GO:0070161	0.9645646637130275	4	117
GO:0030054	0.9945141285133379	5	176
GO:0000812	0.27699971708303567	2	15
GO:1904949	0.8828273436859545	1	30
GO:0000118	0.967683983616045	1	48
GO:0021537	0.07980569487613094	3	15
GO:0140947	0.04127016152442236	2	5
GO:0043536	0.049066607738661	6	39
GO:0060907	0.12377138412688521	2	9
GO:0002718	0.19286060605380606	1	3
GO:0010468	4.184812604047444e-05	36	258
GO:0002720	0.38046460717169645	2	19
GO:0002684	0.604932507316985	1	13
GO:0010628	0.13694797291314045	31	366
GO:0001819	0.9949829489257098	1	74
GO:0007161	0.19286060605380606	1	3
GO:0007160	0.00035721011242598015	17	98
GO:0008201	7.30315908615005e-12	34	130
GO:0038083	0.5104787423462751	1	10
GO:0018108	0.7200434112719593	2	36
GO:0006468	0.9446716257978128	10	221
GO:0016310	0.5756674533753028	1	12
GO:0006796	0.35505509587685286	2	18
GO:0046777	0.9615503103170091	3	94
GO:0070059	0.43741567743876697	3	35
GO:0034976	0.6463916190046528	6	95
GO:0097193	1.0	0	42
GO:0035556	0.9941197397585391	21	488
GO:0097190	0.7823057753814404	3	59
GO:0002687	0.2244868060751178	2	13
GO:0030334	0.9949035605427091	2	104
GO:2000145	0.7236422578828927	1	18
GO:0040012	1.0	0	5
GO:0030335	1.1164975630305766e-06	41	267
GO:0035805	0.04127016152442236	2	5
GO:1903441	0.5104787423462751	1	10
GO:0072657	1.0	0	34
GO:0008104	0.9908480891206853	3	120
GO:0051668	1.0	0	3
GO:0061512	1.0	0	36
GO:1990778	1.0	0	6
GO:0000398	0.997236015446602	6	212
GO:0006397	0.9910247400845165	2	95
GO:0016071	1.0	0	15
GO:0016070	0.5756674533753028	1	12
GO:0006396	0.9478407236267574	5	129
GO:0000375	1.0	0	29
GO:0008380	0.9988876490251766	1	95
GO:0001659	0.7604587169463339	1	20
GO:0060628	0.3934631811564106	1	7
GO:0060341	1.0	0	6
GO:0051049	0.42991478497756974	2	21
GO:0060627	0.6811720512583292	1	16
GO:0071028	1.0	0	9
GO:0071025	1.0	0	6
GO:0006401	0.8354129731465094	2	46
GO:0000956	0.8741396251113995	1	29
GO:0006402	0.49203076391511186	3	38
GO:0004402	0.8067002661134604	1	23
GO:0061733	1.0	0	28
GO:0008080	1.0	0	13
GO:0016407	1.0	0	23
